product_id,name,category,description,image
1,Wireless Mouse,Electronics,Ergonomic wireless mouse with USB receiver,https://via.placeholder.com/150
2,Mechanical Keyboard,Electronics,RGB mechanical keyboard with blue switches,https://via.placeholder.com/150
3,Running Shoes,Fashion,Lightweight running shoes for daily workouts,https://via.placeholder.com/150
4,T-Shirt,Fashion,Cotton round neck t-shirt,https://via.placeholder.com/150
5,Smartphone,Electronics,Android smartphone with 6GB RAM,https://via.placeholder.com/150
6,Headphones,Electronics,Noise cancelling over-ear headphones,https://via.placeholder.com/150
7,Jeans,Fashion,Slim fit denim jeans,https://via.placeholder.com/150
8,Laptop,Electronics,15-inch laptop with SSD storage,https://via.placeholder.com/150
9,Smartwatch,Electronics,Fitness smartwatch with heart rate monitor,https://via.placeholder.com/150
10,Backpack,Accessories,Waterproof travel backpack,https://via.placeholder.com/150
11,Tablet,Electronics,10-inch Android tablet,https://via.placeholder.com/150
12,Sunglasses,Accessories,UV protected stylish sunglasses,https://via.placeholder.com/150
13,Sneakers,Fashion,Casual sneakers for everyday wear,https://via.placeholder.com/150
14,Formal Shirt,Fashion,Full sleeve formal shirt,https://via.placeholder.com/150
15,Bluetooth Speaker,Electronics,Portable bluetooth speaker with bass,https://via.placeholder.com/150
16,Power Bank,Electronics,10000mAh fast charging power bank,https://via.placeholder.com/150
17,Monitor,Electronics,24-inch LED monitor,https://via.placeholder.com/150
18,Office Chair,Furniture,Ergonomic office chair,https://via.placeholder.com/150
19,Desk Lamp,Home,LED desk lamp with brightness control,https://via.placeholder.com/150
20,Coffee Maker,Home,Automatic coffee maker machine,https://via.placeholder.com/150
21,Blender,Home,High speed kitchen blender,https://via.placeholder.com/150
22,Air Fryer,Home,Oil-free air fryer for healthy cooking,https://via.placeholder.com/150
23,Microwave Oven,Home,Digital microwave oven,https://via.placeholder.com/150
24,Water Bottle,Accessories,Insulated stainless steel bottle,https://via.placeholder.com/150
25,Wallet,Accessories,Leather wallet with multiple slots,https://via.placeholder.com/150
26,Belt,Accessories,Genuine leather belt,https://via.placeholder.com/150
27,Perfume,Beauty,Long lasting fragrance perfume,https://via.placeholder.com/150
28,Face Wash,Beauty,Gentle face cleanser for daily use,https://via.placeholder.com/150
29,Lipstick,Beauty,Matte finish lipstick,https://via.placeholder.com/150
30,Hair Dryer,Beauty,Professional hair dryer,https://via.placeholder.com/150
31,Gaming Mouse,Electronics,High DPI gaming mouse,https://via.placeholder.com/150
32,Gaming Keyboard,Electronics,Mechanical gaming keyboard RGB,https://via.placeholder.com/150
33,Smart TV,Electronics,50-inch 4K smart television,https://via.placeholder.com/150
34,Router,Electronics,High speed WiFi router,https://via.placeholder.com/150
35,External Hard Drive,Electronics,1TB portable storage device,https://via.placeholder.com/150
36,Printer,Electronics,All-in-one wireless printer,https://via.placeholder.com/150
37,Notebook,Stationery,College ruled notebook,https://via.placeholder.com/150
38,Pen Set,Stationery,Smooth writing ball pens set,https://via.placeholder.com/150
39,Study Table,Furniture,Wooden study table,https://via.placeholder.com/150
40,Bookshelf,Furniture,Modern bookshelf storage unit,https://via.placeholder.com/150
41,Office Desk,Furniture,Spacious office desk,https://via.placeholder.com/150
42,Sofa,Furniture,Comfortable 3-seater sofa,https://via.placeholder.com/150
43,Bed,Furniture,Queen size wooden bed,https://via.placeholder.com/150
44,Pillow,Home,Soft cotton pillow,https://via.placeholder.com/150
45,Bedsheet,Home,Printed cotton bedsheet,https://via.placeholder.com/150
46,Blanket,Home,Warm winter blanket,https://via.placeholder.com/150
47,Watch,Accessories,Analog wrist watch,https://via.placeholder.com/150
48,Helmet,Accessories,Motorbike safety helmet,https://via.placeholder.com/150
49,Camera,Electronics,DSLR camera for photography,https://via.placeholder.com/150
50,Tripod,Electronics,Adjustable camera tripod,https://via.placeholder.com/150
